Cmdlet,UserOriented,RestrictToParameter,Parameters,SpecificValue
Add-Adpermission,Yes,,,
Add-MailboxFolderPermission,Yes,,,
Add-MailboxPermission,Yes,,,
Add-remoteDomain,,No,AutoForwardEnabled, $true
Set-remoteDomain,,No,AutoForwardEnabled, $true
Add-RoleGroupMember,Yes,,,
Dismount-Database,,,,
Install-TransportAgent,,,,
New-AdminAuditLogSearch,,,,
New-JournalRule,,,,
New-MailboxAuditLogSearch,,,,
New-MailboxExportRequest,Yes,,,
New-MailboxSearch,,,,
New-ManageRole,,,,
New-ManageRoleAssigment,,,,
New-RemoteDomain,,,,
New-RoleGroup,,,,
New-TransportRule,,No,RedirectMessage;CopyTo;BlindCopyTo,
Redirect-Message,,,,
Remove-ADPermission,Yes,,,
Search-AdminAuditLog,,,,
Search-Mailbox,Yes,,,
Search-MailboxAuditLog,Yes,,,
Set-ActiveSyncvirtualdirectory,,No,BasicAuthEnabled; WindowsAuthEnabled; ClientCertAuth;InternalAuthenticationMethods; ExternalAuthenticationMethods,
Set-adminauditlogconfig,,,,
Set-JournalRule,,,,
Set-mailbox,Yes,No,AuditEnabled;AuditLogAgeLimit;AuditAdmin;AuditDelegate;AuditDelegate;AuditOwner;ForwardingAddress;ForwardingSmtpAddress;DeliverToMailboxAndForward;GrantSendOnBehalfTo,
Set-MailboxAuditBypassAssociation,Yes,,,
Set-MailboxDatabase,,,,
Set-mailboxdatabase,,No,JournalRecipient,
Set-MailboxFolderPermission,Yes,,,
Set-MailboxSearch,Yes,,,
Set-owavirtualdirectory,,No,InternalAuthenticationMethods;BasicAuthentication;WindowsAuthentication;DigestAuthentication;FormsAuthentication;LiveIdAuthentication;AdfsAuthentication;OAuthAuthentication;ExternalAuthenticationMethods,
set-RemoteDomain,,,,
Set-TransportConfig,,,,
Set-TransportRule,,No,RedirectMessage;CopyTo;BlindCopyTo;SentTo,
Set-TransportServer,,No,PipelineTracingEnabled,
Set-TransportService,,No,PipelineTracingEnabled,
Suspend-MailboxDatabaseCopy,,,,
Update-RoleGroupMember,Yes,,,
New-ExchangeCertificate,,,,
Import-ExchangeCertificate,,,,
Enable-ExchangeCertificate,,,,
Set-MapiVirtualDirectory,,Yes,IISAuthenticationMethods;InternalAuthenticationMethods;ExternalAuthenticationMethods,
New-OabVirtualDirectory,,,,
Set-OabVirtualDirectory,,,,
Set-WebServicesVirtualDirectory,,Yes,BasicAuthentication,
