Productname,CU,SU,BuildNbAll,BuilCUNb,Major,CUBuildNb,SUBuildNb
Exchange Server 2019,CU12,Aug22SU,15.02.1118.12,15.02.1118,15.02,1118,12
Exchange Server 2019,CU12,May22SU,15.02.1118.9,15.02.1118,15.02,1118,9
Exchange Server 2019,CU12,,15.02.1118.7,15.02.1118,15.02,1118,7
Exchange Server 2019,CU11,Aug22SU,15.02.986.26,15.02.986,15.02,986,26
Exchange Server 2019,CU11,May22SU,15.02.986.22,15.02.986,15.02,986,22
Exchange Server 2019,CU11,Mar22SU,15.02.986.22,15.02.986,15.02,986,22
Exchange Server 2019,CU11,Jan22SU,15.02.986.15,15.02.986,15.02,986,15
Exchange Server 2019,CU11,Nov21SU,15.02.986.14,15.02.986,15.02,986,14
Exchange Server 2019,CU11,Oct21SU,15.02.986.9,15.02.986,15.02,986,9
Exchange Server 2019,CU11,,15.02.986.5,15.02.986,15.02,986,5
Exchange Server 2019,CU10,Mar22SU,15.02.922.27,15.02.922,15.02,922,27
Exchange Server 2019,CU10,Jan22SU,15.02.922.20,15.02.922,15.02,922,2
Exchange Server 2019,CU10,Nov21SU,15.02.922.19,15.02.922,15.02,922,19
Exchange Server 2019,CU10,Oct21SU,15.02.922.14,15.02.922,15.02,922,14
Exchange Server 2019,CU10,Jul21SU,15.02.922.13,15.02.922,15.02,922,13
Exchange Server 2019,CU10,,15.02.922.7,15.02.922,15.02,922,7
Exchange Server 2019,CU9,Jul21SU,15.02.858.15,15.02.858,15.02,858,15
Exchange Server 2019,CU9,May21SU,15.02.858.12,15.02.858,15.02,858,12
Exchange Server 2019,CU9,Apr21SU,15.02.858.10,15.02.858,15.02,858,1
Exchange Server 2019,CU9,,15.02.858.5,15.02.858,15.02,858,5
Exchange Server 2019,CU8,May21SU,15.02.792.15,15.02.792,15.02,792,15
Exchange Server 2019,CU8,Apr21SU,15.02.792.13,15.02.792,15.02,792,13
Exchange Server 2019,CU8,Mar21SU,15.02.792.10,15.02.792,15.02,792,1
Exchange Server 2019,CU8,,15.02.792.3,15.02.792,15.02,792,3
Exchange Server 2019,CU7,Mar21SU,15.02.721.13,15.02.721,15.02,721,13
Exchange Server 2019,CU7,,15.02.721.2,15.02.721,15.02,721,2
Exchange Server 2019,CU6,Mar21SU,15.02.659.12,15.02.659,15.02,659,12
Exchange Server 2019,CU6,,15.02.659.4,15.02.659,15.02,659,4
Exchange Server 2019,CU5,Mar21SU,15.02.595.8,15.02.595,15.02,595,8
Exchange Server 2019,CU5,,15.02.595.3,15.02.595,15.02,595,3
Exchange Server 2019,CU4,Mar21SU,15.02.529.13,15.02.529,15.02,529,13
Exchange Server 2019,CU4,,15.02.529.5,15.02.529,15.02,529,5
Exchange Server 2019,CU3,Mar21SU,15.02.464.15,15.02.464,15.02,464,15
Exchange Server 2019,CU3,,15.02.464.5,15.02.464,15.02,464,5
Exchange Server 2019,CU2,Mar21SU,15.02.397.11,15.02.397,15.02,397,11
Exchange Server 2019,CU2,,15.02.397.3,15.02.397,15.02,397,3
Exchange Server 2019,CU1,Mar21SU,15.02.330.11,15.02.330,15.02,330,11
Exchange Server 2019,CU1,,15.02.330.5,15.02.330,15.02,330,5
Exchange Server 2019,RTM,Mar21SU,15.02.221.18,15.02.221,15.02,221,18
Exchange Server 2019,RTM,,15.02.221.12,15.02.221,15.02,221,12
Exchange Server 2019,Preview,,15.02.196.0,15.02.196,15.02,196,
Exchange Server 2016,CU23,AugustSU,15.01.2507.12,15.01.2507,15.01,2507,12
Exchange Server 2016,CU23,MaySU,15.01.2507.9,15.01.2507,15.01,2507,9
Exchange Server 2016,CU23,,15.01.2507.6,15.01.2507,15.01,2507,6
Exchange Server 2016,CU22,AugustSU,15.01.2375.31,15.01.2375,15.01,2375,31
Exchange Server 2016,CU22,MaySU,15.01.2375.28,15.01.2375,15.01,2375,28
Exchange Server 2016,CU22,Mar22SU,15.01.2375.24,15.01.2375,15.01,2375,24
Exchange Server 2016,CU22,Jan22SU,15.01.2375.18,15.01.2375,15.01,2375,18
Exchange Server 2016,CU22,Nov21SU,15.01.2375.17,15.01.2375,15.01,2375,17
Exchange Server 2016,CU22,Oct21SU,15.01.2375.12,15.01.2375,15.01,2375,12
Exchange Server 2016,CU22,,15.01.2375.7,15.01.2375,15.01,2375,7
Exchange Server 2016,CU21,Mar22SU,15.01.2308.27,15.01.2308,15.01,2308,27
Exchange Server 2016,CU21,Jan22SU,15.01.2308.21,15.01.2308,15.01,2308,21
Exchange Server 2016,CU21,Nov21SU,15.01.2308.20,15.01.2308,15.01,2308,2
Exchange Server 2016,CU21,Oct21SU,15.01.2308.15,15.01.2308,15.01,2308,15
Exchange Server 2016,CU21,Jul21SU,15.01.2308.14,15.01.2308,15.01,2308,14
Exchange Server 2016,CU21,,15.01.2308.8,15.01.2308,15.01,2308,8
Exchange Server 2016,CU20,Jul21SU,15.01.2242.12,15.01.2242,15.01,2242,12
Exchange Server 2016,CU20,May21SU,15.01.2242.10,15.01.2242,15.01,2242,1
Exchange Server 2016,CU20,Apr21SU,15.01.2242.8,15.01.2242,15.01,2242,8
Exchange Server 2016,CU20,,15.01.2242.4,15.01.2242,15.01,2242,4
Exchange Server 2016,CU19,May21SU,15.01.2176.14,15.01.2176,15.01,2176,14
Exchange Server 2016,CU19,Apr21SU,15.01.2176.12,15.01.2176,15.01,2176,12
Exchange Server 2016,CU19,Mar21SU,15.01.2176.9,15.01.2176,15.01,2176,9
Exchange Server 2016,CU19,,15.01.2176.2,15.01.2176,15.01,2176,2
Exchange Server 2016,CU18,Mar21SU,15.01.2106.13,15.01.2106,15.01,2106,13
Exchange Server 2016,CU18,,15.01.2106.2,15.01.2106,15.01,2106,2
Exchange Server 2016,CU17,Mar21SU,15.01.2044.13,15.01.2044,15.01,2044,13
Exchange Server 2016,CU17,,15.01.2044.4,15.01.2044,15.01,2044,4
Exchange Server 2016,CU16,Mar21SU,15.01.1979.8,15.01.1979,15.01,1979,8
Exchange Server 2016,CU16,,15.01.1979.3,15.01.1979,15.01,1979,3
Exchange Server 2016,CU15,Mar21SU,15.01.1913.12,15.01.1913,15.01,1913,12
Exchange Server 2016,CU15,,15.01.1913.5,15.01.1913,15.01,1913,5
Exchange Server 2016,CU14,Mar21SU,15.01.1847.12,15.01.1847,15.01,1847,12
Exchange Server 2016,CU14,,15.01.1847.3,15.01.1847,15.01,1847,3
Exchange Server 2016,CU13,Mar21SU,15.01.1779.8,15.01.1779,15.01,1779,8
Exchange Server 2016,CU13,,15.01.1779.2,15.01.1779,15.01,1779,2
Exchange Server 2016,CU12,Mar21SU,15.01.1713.10,15.01.1713,15.01,1713,1
Exchange Server 2016,CU12,,15.01.1713.5,15.01.1713,15.01,1713,5
