Role,RoleCMDLet,Parameters
"Cmdlet Extension Agents","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Cmdlet Extension Agents","Set-CmdletExtensionAgent","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Name;OutBuffer;OutVariable;Priority;Verbose;WarningAction;WarningVariable;WhatIf"
"Cmdlet Extension Agents","Remove-CmdletExtensionAgent","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Cmdlet Extension Agents","New-CmdletExtensionAgent","Assembly;ClassFactory;Confirm;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;Priority;Verbose;WarningAction;WarningVariable;WhatIf"
"Cmdlet Extension Agents","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Cmdlet Extension Agents","Get-CmdletExtensionAgent","Assembly;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Cmdlet Extension Agents","Enable-CmdletExtensionAgent","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Cmdlet Extension Agents","Disable-CmdletExtensionAgent","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","Start-EdgeSynchronization","Confirm;Debug;ErrorAction;ErrorVariable;ForceFullSync;ForceUpdateCookie;OutBuffer;OutVariable;Server;TargetServer;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","Set-EdgeSyncServiceConfig","ConfigurationSyncInterval;Confirm;CookieValidDuration;Debug;DomainController;ErrorAction;ErrorVariable;FailoverDCInterval;Identity;LockDuration;LockRenewalDuration;LogEnabled;LogLevel;LogMaxAge;LogMaxDirectorySize;LogMaxFileSize;LogPath;Name;OptionDuration;OutBuffer;OutVariable;RecipientSyncInterval;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","Remove-EdgeSubscription","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","New-EdgeSyncServiceConfig","ConfigurationSyncInterval;Confirm;CookieValidDuration;Debug;DomainController;ErrorAction;ErrorVariable;FailoverDCInterval;LockDuration;LockRenewalDuration;LogEnabled;LogLevel;LogMaxAge;LogMaxDirectorySize;LogMaxFileSize;LogPath;OptionDuration;OutBuffer;OutVariable;RecipientSyncInterval;Site;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","New-EdgeSubscription","AccountExpiryDuration;Confirm;CreateInboundSendConnector;CreateInternetSendConnector;Debug;DomainController;ErrorAction;ErrorVariable;FileData;FileName;Force;OutBuffer;OutVariable;Site;Verbose;WarningAction;WarningVariable;WhatIf"
"Edge Subscriptions","Get-EdgeSubscription","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Edge Subscriptions","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Edge Subscriptions","Get-ADSite","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Exchange Connectors","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","Set-RoutingGroupConnector","Confirm;Cost;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MaxMessageSize;Name;OutBuffer;OutVariable;PublicFolderReferralsEnabled;SourceTransportServers;TargetTransportServers;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","Set-DeliveryAgentConnector","AddressSpaces;Comment;Confirm;Debug;DeliveryProtocol;DomainController;Enabled;ErrorAction;ErrorVariable;Force;Identity;IsScopedConnector;MaxConcurrentConnections;MaxMessageSize;MaxMessagesPerConnection;Name;OutBuffer;OutVariable;SourceTransportServers;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","Remove-RoutingGroupConnector","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","Remove-DeliveryAgentConnector","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","New-RoutingGroupConnector","BiDirectional;Confirm;Cost;Debug;DomainController;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;PublicFolderReferralsEnabled;SourceTransportServers;TargetTransportServers;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","New-DeliveryAgentConnector","AddressSpaces;Comment;Confirm;Debug;DeliveryProtocol;DomainController;Enabled;ErrorAction;ErrorVariable;IsScopedConnector;MaxConcurrentConnections;MaxMessageSize;MaxMessagesPerConnection;Name;OutBuffer;OutVariable;SourceTransportServers;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Connectors","Get-RoutingGroupConnector","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Exchange Connectors","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Exchange Connectors","Get-DeliveryAgentConnector","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"UM Prompts","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"UM Prompts","Set-UMDialPlan","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;InfoAnnouncementEnabled;InfoAnnouncementFilename;Verbose;WarningAction;WarningVariable;WelcomeGreetingEnabled;WelcomeGreetingFilename;WhatIf"
"UM Prompts","Set-UMAutoAttendant","AfterHoursMainMenuCustomPromptEnabled;AfterHoursMainMenuCustomPromptFilename;AfterHoursWelcomeGreetingEnabled;AfterHoursWelcomeGreetingFilename;BusinessHoursMainMenuCustomPromptEnabled;BusinessHoursMainMenuCustomPromptFilename;BusinessHoursWelcomeGreetingEnabled;BusinessHoursWelcomeGreetingFilename;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;InfoAnnouncementEnabled;InfoAnnouncementFilename;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"UM Prompts","Set-ADServerSettings","ConfigurationDomainController;Confirm;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PreferredGlobalCatalog;PreferredServer;RecipientViewRoot;RunspaceServerSettings;SetPreferredDomainControllers;Verbose;ViewEntireForest;WarningAction;WarningVariable;WhatIf"
"UM Prompts","Import-UMPrompt","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PromptFileData;PromptFileName;PromptFileStream;UMAutoAttendant;UMDialPlan;Verbose;WarningAction;WarningVariable;WhatIf"
"UM Prompts","Get-UMDialPlan","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"UM Prompts","Get-UMAutoAttendant","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UMDialPlan;Verbose;WarningAction;WarningVariable"
"UM Prompts","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"UM Prompts","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"UM Prompts","Export-UMPrompt","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PromptFileName;UMAutoAttendant;UMDialPlan;Verbose;WarningAction;WarningVariable;WhatIf"
"ApplicationImpersonation","Impersonate-ExchangeUser",""
"MyMailboxDelegation","Set-Mailbox","GrantSendOnBehalfTo;Identity"
"MyMailboxDelegation","Get-Mailbox","Anr;Archive;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;Server;SortBy;Verbose;WarningAction;WarningVariable"
"E-Mail Address Policies","Update-EmailAddressPolicy","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FixMissingAlias;Identity;OutBuffer;OutVariable;UpdateSecondaryAddressesOnly;Verbose;WarningAction;WarningVariable;WhatIf"
"E-Mail Address Policies","Get-OrganizationalUnit","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeContainers;OutBuffer;OutVariable;ResultSize;SearchText;SingleNodeOnly;Verbose;WarningAction;WarningVariable"
"E-Mail Address Policies","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"E-Mail Address Policies","Set-EmailAddressPolicy","ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisabledEmailAddressTemplates;DomainController;EnabledEmailAddressTemplates;EnabledPrimarySMTPAddressTemplate;ErrorAction;ErrorVariable;ForceUpgrade;Identity;IncludedRecipients;Name;OutBuffer;OutVariable;Priority;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf"
"E-Mail Address Policies","Remove-EmailAddressPolicy","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"E-Mail Address Policies","New-EmailAddressPolicy","ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisabledEmailAddressTemplates;DomainController;EnabledEmailAddressTemplates;EnabledPrimarySMTPAddressTemplate;ErrorAction;ErrorVariable;IncludedRecipients;Name;OutBuffer;OutVariable;Priority;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf"
"E-Mail Address Policies","Get-EmailAddressPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeMailboxSettingOnlyPolicy;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"E-Mail Address Policies","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Exchange Server Certificates","New-ExchangeCertificate","BinaryEncoded;Confirm;Debug;DomainController;DomainName;ErrorAction;ErrorVariable;Force;FriendlyName;GenerateRequest;IncludeAcceptedDomains;IncludeAutoDiscover;IncludeServerFQDN;IncludeServerNetBIOSName;Instance;KeySize;OutBuffer;OutVariable;PrivateKeyExportable;RequestFile;Server;Services;SubjectKeyIdentifier;SubjectName;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Server Certificates","Import-ExchangeCertificate","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FileData;FileName;FriendlyName;Instance;OutBuffer;OutVariable;Password;PrivateKeyExportable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Server Certificates","Get-Notification","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ProcessType;ResultSize;Settings;StartDate;Verbose;WarningAction;WarningVariable"
"Exchange Server Certificates","Get-ExchangeServerAccessLicenseUser","Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Exchange Server Certificates","Get-ExchangeServerAccessLicense","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Exchange Server Certificates","Set-Notification","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;NotificationEmails;OutBuffer;OutVariable;ProcessType;Verbose;WarningAction;WarningVariable;WhatIf"
