Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
ApplicationImpersonation-Organization Management-Delegating,ApplicationImpersonation,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
View-Only Configuration-Hygiene Management,View-Only Configuration,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Message Tracking-Organization Management-Delegating,Message Tracking,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Import Export-Organization Management-Delegating,Mailbox Import Export,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Organization Management-Delegating,Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Help Desk,User Options,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Remote and Accepted Domains-Organization Management-Delegating,Remote and Accepted Domains,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Team Mailboxes-Organization Management-Delegating,Team Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Organization Management,Message Tracking,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Organization Management-Delegating,Move Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Organization Management-Delegating,Recipient Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Recipients-Help Desk,View-Only Recipients,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Mailbox Search-Organization Management-Delegating,Mailbox Search,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Mail Recipient Creation-Recipient Management,Mail Recipient Creation,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
E-Mail Address Policies-Organization Management-Delegating,E-Mail Address Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Organization Management-Delegating,Retention Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Federated Sharing-Organization Management-Delegating,Federated Sharing,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Organization Management,Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Custom Apps-Organization Management-Delegating,Org Custom Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Recipients-Organization Management-Delegating,View-Only Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Remote and Accepted Domains-Organization Management,Remote and Accepted Domains,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Marketplace Apps-Organization Management-Delegating,Org Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MailboxSearchApplication-Organization Management-Delegating,MailboxSearchApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
OfficeExtensionApplication-Organization Management-Delegating,OfficeExtensionApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Organization Configuration-Organization Management-Delegating,Organization Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Organization Management-Delegating,Mail Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Hygiene Management,Transport Hygiene,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Role Management-Organization Management-Delegating,Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Organization Management,Retention Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Organization Management-Delegating,Journaling,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
LegalHoldApplication-Organization Management-Delegating,LegalHoldApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Address Lists-Organization Management-Delegating,Address Lists,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Recipients-Hygiene Management,View-Only Recipients,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
MeetingGraphApplication-Organization Management-Delegating,MeetingGraphApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Client Access-Organization Management-Delegating,Organization Client Access,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Organization Management-Delegating,User Options,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Organization Management,Recipient Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Organization Management,Distribution Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Configuration-Organization Management-Delegating,View-Only Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Mail Tips-Organization Management-Delegating,Mail Tips,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
O365SupportViewConfig-O365 Support View Only,O365SupportViewConfig,O365 Support View Only,O365 Support View Only,PartnerLinkedRoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Security Admin-Organization Management-Delegating,Security Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
